key,english,translation,description
"incompleteOnboarding","Incomplete Onboarding","","Title for dialog when onboarding is incomplete"
"completeAllStepsMessage","Please complete all the onboarding steps before continuing.","","Message shown when user tries to complete onboarding without finishing all steps"
"ok","OK","","Generic OK button text"
"helpScreenTitle","How can we help you?","","Title for help screen"
"selectAllInterests","Select all options that interest you","","Subtitle for help screen"
"helpScreenExplanation","We offer different resources to support your journey. Select all that you believe can help.","","Explanation text on help screen"
"dailyTips","Daily tips","","Option for daily tips"
"dailyTipsDescription","Receive practical advice every day to support your journey","","Description for daily tips"
"customReminders","Custom reminders","","Option for custom reminders"
"customRemindersDescription","Notifications to keep you motivated and on track","","Description for custom reminders"
"progressMonitoring","Progress monitoring","","Option for progress monitoring"
"progressMonitoringDescription","Visually track your progress over time","","Description for progress monitoring"
"supportCommunity","Support community","","Option for support community"
"supportCommunityDescription","Connect with others on a similar journey","","Description for support community"
"cigaretteAlternatives","Cigarette alternatives","","Option for cigarette alternatives"
"cigaretteAlternativesDescription","Suggestions for activities and products to replace the habit","","Description for cigarette alternatives"
"savingsCalculator","Savings Calculator","","Option for savings calculator"
"savingsCalculatorDescription","See how much money you're saving by reducing or quitting","","Description for savings calculator"
"modifyPreferencesAnytime","You can modify these preferences at any time in the app settings.","","Text explaining that preferences can be modified later"
"personalizeScreenTitle","When do you usually smoke more?","","Title for personalize screen"
"personalizeScreenSubtitle","Select the times when you feel more like smoking","","Subtitle for personalize screen"
"afterMeals","After meals","","Option for smoking after meals"
"duringWorkBreaks","During work breaks","","Option for smoking during work breaks"
"inSocialEvents","At social events","","Option for smoking at social events"
"whenStressed","When I'm stressed","","Option for smoking when stressed"
"withCoffeeOrAlcohol","When drinking coffee or alcohol","","Option for smoking with coffee or alcohol"
"whenBored","When I'm bored","","Option for smoking when bored"
"homeDaysWithoutSmoking","{days} days without smoking","","Days without smoking counter"
"homeGreeting","Hello, {name}! 👋","","Greeting with user name"
"homeHealthRecovery","Health Recovery","","Health recovery section title"
